japanese,pds,inference,match
参拾万伍仟, _ 3 06 5 04 _, _ 3 08 5 06 _, False
伍仟, _ 5 04 _, _ 5 04 6 03 _, False
二, _ 2 01 _, _ 2 01, False
六十六, _ 6 02 6 01 _, _ 6 02 6 01 _, True
六百七十二, _ 6 03 7 02 2 01 _, _ 6 03 7 02 2 01 _, True
壱億壱千万, _ 1 09 1 08 _, _ 1 09 10 9 08 _, False
玖, _ 9 01 _, _ 9 01 _, True
漆, _ 7 01 _, _ 7 01 _, True
十万, _ 1 06 _, _ 1 08 _, False
一億五千万, _ 1 09 5 08 _, _ 1 09 5 08 _, True
伍兆, _ 5 013 _, _ 5 013 _, True
肆百, _ 4 03 _, _ 4 01 _, False
四万二千百, _ 4 05 2 04 1 03 _, _ 4 05 2 04 1 03 _, True
壱千万漆千, _ 1 08 7 04 _, _ 1 08 7 06 _, False
四百六十二, _ 4 03 6 02 2 01 _, _ 4 03 6 02 2 01 _, True
八百十六, _ 8 03 1 02 6 01 _, _ 8 02 1 01 6 00 1 00 _, False
捌, _ 8 01 _, _ 8 01 _, True
参, _ 3 01 _, _ 3 01 _, True
八千六百五十二, _ 8 04 6 03 5 02 2 01 _, _ 8 04 6 03 5 02 2 01 _, True
六, _ 6 01 _, _ 6 01, False
弐百伍拾億, _ 2 011 5 010 _, _ 2 09 5 08 _, False
百億, _ 1 011 _, _ 1 012 _, False
弐億四千万, _ 2 09 4 08 _, _ 2 09 4 08 _, True
十一, _ 1 02 1 01 _, _ 1 1 03 _, False
七十七, _ 7 02 7 01 _, _ 7 02 7 01 _, True
漆百, _ 7 03 _, _ 7 03 _, True
百万, _ 1 07 _, _ 1 07 _, True
一千億, _ 1 012 _, _ 1 012 _, True
弐仟, _ 2 04 _, _ 2 03 _, False
壱千億, _ 1 012 _, _ 1 012 _, True
五千九百九十九, _ 5 04 9 03 9 02 9 01 _, _ 5 05 9 04 9 03 9 02 9 01 _, False
三兆五千億, _ 3 013 5 012 _, _ 3 013 5 012 _, True
肆百伍拾陸, _ 4 03 5 02 6 01 _, _ 4 02 5 01 _, False
一億二千万, _ 1 09 2 08 _, _ 1 09 2 08 _, True
百, _ 1 03 _, _ 1 02 1 01 _, False
九, _ 9 01 _, _ 9 01 _, True
弐拾壱, _ 2 02 1 01 _, _ 2 02 1 01 _, True
百壱拾万, _ 1 07 1 06 _, _ 1 09 1 08 _, False
拾万, _ 1 06 _, _ 1 06 _, True
壱仟, _ 1 04 _, _ 1 08 _, False
捌拾捌, _ 8 02 8 01 _, _ 8 02 8 01 _, True
陸拾漆, _ 6 02 7 01 _, _ 6 02 7 01 _, True
一千万, _ 1 08 _, _ 1 09 _, False
四百九十八, _ 4 03 9 02 8 01 _, _ 4 04 9 03 8 02 8 01 _, False
千六百三, _ 1 04 6 03 3 01 _, _ 1 04 6 03 3 02 _, False
六千八百万, _ 6 08 8 07 _, _ 6 08 8 07 _, True
玖百壱拾, _ 9 03 1 02 _, _ 9 02 1 01 _, False
四, _ 4 01 _, _ 4 01 _, True
参仟, _ 3 04 _, _ 3 03 _, False
百三十五, _ 1 03 3 02 5 01 _, _ 1 03 3 3 02 5 01 _, False
九十九, _ 9 02 9 01 _, _ 9 02 9 01 _, True
伍百陸拾漆, _ 5 03 6 02 7 01 _, _ 5 03 6 02 7 01 _, True
二千二十六, _ 2 04 2 02 6 01 _, _ 2 02 2 01 _, False
壱仟弐百参拾肆, _ 1 04 2 03 3 02 4 01 _, _ 1 07 2 06 3 05 _, False
参拾伍億, _ 3 010 5 09 _, _ 3 010 5 09 _, True
五千五, _ 5 04 5 01 _, _ 5 05 5 04 _, False
六万八千九百, _ 6 05 8 04 9 03 _, _ 6 08 8 06 9 05 _, False
一千二百万, _ 1 08 2 07 _, _ 1 09 2 08 _, False
伍百, _ 5 03 _, _ 5 03 _, True
捌拾玖, _ 8 02 9 01 _, _ 8 02 9 01 _, True
肆万七百, _ 4 05 7 03 _, _ 4 03 7 02 _, False
五, _ 5 01 _, _ 5 01 _, True
佰, _ 1 03 _, _ 1 01 _, False
九百九十九万, _ 9 07 9 06 9 05 _, _ 9 07 9 06 9 05 _, True
二千八百七十, _ 2 04 8 03 7 02 _, _ 2 04 8 03 7 02 _, True
七十二万, _ 7 06 2 05 _, _ 7 07 2 06 _, False
二十五万, _ 2 06 5 05 _, _ 2 05 5 04 _, False
九百三十三, _ 9 03 3 02 3 01 _, _ 9 02 3 3 01 _, False
八百万, _ 8 07 _, _ 8 08 _, False
壱拾壱, _ 1 02 1 01 _, _ 1 02 1 01 _, True
七, _ 7 01 _, _ 7 01 _, True
万, _ 1 05 _, _ 1 07 _, False
弐万伍千, _ 2 05 5 04 _, _ 2 04 5 03 _, False
弐百伍拾万, _ 2 07 5 06 _, _ 2 05 5 04 _, False
壱万弐仟, _ 1 05 2 04 _, _ 1 07 2 06 _, False
弐百, _ 2 03 _, _ 2 03 _, True
壱百弐拾, _ 1 03 2 02 _, _ 1 03 2 02 _, True
八, _ 8 01 _, _ 8 01 _, True
参千伍百万, _ 3 08 5 07 _, _ 3 08 5 07 _, True
伍億六千七百万, _ 5 09 6 08 7 07 _, _ 5 09 6 08 7 07 _, True
陸百漆拾捌, _ 6 03 7 02 8 01 _, _ 6 02 7 01 _, False
拾万弐千, _ 1 06 2 04 _, _ 1 05 2 04 _, False
肆百八十万, _ 4 07 8 06 _, _ 4 08 8 07 _, False
陸拾陸, _ 6 02 6 01 _, _ 6 03 6 02 6 01 _, False
漆拾捌, _ 7 02 8 01 _, _ 7 02 8 01 _, True
三百五十万, _ 3 07 5 06 _, _ 3 07 5 06 _, True
参仟参百, _ 3 04 3 03 _, _ 3 03 3 02 _, False
壱億, _ 1 09 _, _ 1 09 _, True
壱, _ 1 01 _, _ 1 02 _, False
九十万九千, _ 9 06 9 04 _, _ 9 08 9 07 _, False
三億, _ 3 09 _, _ 3 09 _, True
九万九千九百, _ 9 05 9 04 9 03 _, _ 9 05 9 04 9 03 9 02 _, False
参千二百億, _ 3 012 2 011 _, _ 3 012 2 011 _, True
五百億, _ 5 011 _, _ 5 012 _, False
八千八百八十八, _ 8 04 8 03 8 02 8 01 _, _ 8 08 8 07 8 06 _, False
五百一, _ 5 03 1 01 _, _ 5 03 1 01 _, True
肆拾伍, _ 4 02 5 01 _, _ 4 015 _, False
二十二, _ 2 02 2 01 _, _ 2 02 2 01 _, True
弐兆伍千億, _ 2 013 5 012 _, _ 2 011 5 010 _, False
捌百, _ 8 03 _, _ 8 02 _, False
壱仟壱百, _ 1 04 1 03 _, _ 1 08 1 06 _, False
伍拾伍, _ 5 02 5 01 _, _ 5 03 5 02 _, False
九百五十一, _ 9 03 5 02 1 01 _, _ 9 03 5 02 1 01 _, True
一兆, _ 1 013 _, _ 1 013 _, True
八十九万, _ 8 06 9 05 _, _ 8 07 9 06 _, False
五十六万, _ 5 06 6 05 _, _ 5 06 6 05 _, True
五十九, _ 5 02 9 01 _, _ 5 02 1 01 _, False
陸百, _ 6 03 _, _ 6 02 _, False
捌百玖拾, _ 8 03 9 02 _, _ 8 03 9 02 _, True
参拾参, _ 3 02 3 01 _, _ 3 02 3 01 _, True
三千八百, _ 3 04 8 03 _, _ 3 04 8 03 _, True
伍拾捌万, _ 5 06 8 05 _, _ 5 02 8 01 _, False
伍拾兆, _ 5 014 _, _ 5 012 6 011 _, False
千, _ 1 04 _, _ 1 06 _, False
二万三千四百, _ 2 05 3 04 4 03 _, _ 2 05 3 04 4 03 _, True
四千九百, _ 4 04 9 03 _, _ 4 07 9 06 _, False
拾, _ 1 02 _, _ 1 013 _, False
参拾万, _ 3 06 _, _ 3 05 3 04 _, False
八千億, _ 8 012 _, _ 8 012 _, True
百兆, _ 1 015 _, _ 1 014 _, False
千十, _ 1 04 1 02 _, _ 1 03 10 02 _, False
肆拾肆, _ 4 02 4 01 _, _ 4 02 4 01 _, True
壱兆, _ 1 013 _, _ 1 09 _, False
百二十一, _ 1 03 2 02 1 01 _, _ 1 03 2 02 1 01 _, True
六千百十一, _ 6 04 1 03 1 02 1 01 _, _ 6 04 1 03 1 02 1 01 _, True
陸, _ 6 01 _, _ 6 01 _, True
十二万, _ 1 06 2 05 _, _ 1 07 1 06 _, False
玖拾玖億, _ 9 010 9 09 _, _ 9 012 9 011 _, False
漆拾漆, _ 7 02 7 01 _, _ 7 02 7 01 _, True
壱千兆, _ 1 016 _, _ 1 08 1 07 _, False
漆拾億, _ 7 010 _, _ 7 011 _, False
三, _ 3 01 _, _ 3 01 _, True
玖百, _ 9 03 _, _ 9 03 _, True
萬, _ 1 05 _, _ 1 06 _, False
五千五百, _ 5 04 5 03 _, _ 5 05 5 04 _, False
四十八万, _ 4 06 8 05 _, _ 4 03 8 02 8 01 _, False
陸千四百万, _ 6 08 4 07 _, _ 6 07 4 06 _, False
弐, _ 2 01 _, _ 2 01 _, True
仟, _ 1 04 _, _ 1 03 _, False
七万八千九百, _ 7 05 8 04 9 03 _, _ 7 07 8 06 9 05 _, False
三百五十七, _ 3 03 5 02 7 01 _, _ 3 03 5 02 7 01 _, True
七拾二万参千, _ 7 06 2 05 3 04 _, _ 7 07 2 06 _, False
壱万参仟, _ 1 05 3 04 _, _ 1 09 6 08 _, False
