japanese,pds,inference,match
六万八千九百, ( 6e4 8e3 9e2 ), ( 6e4 8e3 9e2 ), True
一千二百万, ( 1e7 2e6 ), ( 1e7 2e6 ), True
伍百, ( 5e2 ), ( 5e2 ), True
捌拾玖, ( 8e1 9e0 ), ( 8e1 9e0 ), True
肆万七百, ( 4e4 7e2 ), ( 4e6 7e2 ), False
五, ( 5e0 ), ( 5e0 ), True
佰, ( 1e2 ), ( 1e2 ), True
九百九十九万, ( 9e6 9e5 9e4 ), ( 9e6 9e5 9e4 9e3 9e2 9e0 ), False
二千八百七十, ( 2e3 8e2 7e1 ), ( 2e3 7e2 7e0 ), False
七十二万, ( 7e5 2e4 ), ( 7e5 2e1 7e0 ), False
二十五万, ( 2e5 5e4 ), ( 2e5 5e4 ), True
九百三十三, ( 9e2 3e1 3e0 ), ( 9e2 3e1 3e0 ), True
八百万, ( 8e6 ), ( 8e1 6e0 ), False
壱拾壱, ( 1e1 1e0 ), ( 1e1 1e0 ), True
七, ( 7e0 ), ( 7e0 ), True
万, ( 1e4 ), ( 1e5 ), False
弐万伍千, ( 2e4 5e3 ), ( 2e5 6e3 ), False
弐百伍拾万, ( 2e6 5e5 ), ( 2e6 5e5 ), True
壱万弐仟, ( 1e4 2e3 ), ( 1e4 2e3 ), True
弐百, ( 2e2 ), ( 2e2 ), True
壱百弐拾, ( 1e2 2e1 ), ( 1e2 2e1 ), True
八, ( 8e0 ), ( 8e0 ), True
参千伍百万, ( 3e7 5e6 ), ( 3e7 5e6 ), True
伍億六千七百万, ( 5e8 6e7 7e6 ), ( 5e8 6e7 7e5 ), False
陸百漆拾捌, ( 6e2 7e1 8e0 ), ( 6e1 7e0 ), False
拾万弐千, ( 1e5 2e3 ), ( 1e5 2e3 ), True
肆百八十万, ( 4e6 8e5 ), ( 4e6 8e5 ), True
陸拾陸, ( 6e1 6e0 ), ( 6e1 6e0 ), True
漆拾捌, ( 7e1 8e0 ), ( 7e1 8e0 ), True
三百五十万, ( 3e6 5e5 ), ( 3e5 5e5 ), False
参仟参百, ( 3e3 3e2 ), ( 3e3 3e2 ), True
壱億, ( 1e8 ), ( 1e8 ), True
壱, ( 1e0 ), ( 1e0 ), True
九十万九千, ( 9e5 9e3 ), ( 9e5 9e3 ), True
三億, ( 3e8 ), ( 3e8 ), True
九万九千九百, ( 9e4 9e3 9e2 ), ( 9e4 9e3 9e2 ), True
参千二百億, ( 3e11 2e10 ), ( 1e11 2e10 ), False
五百億, ( 5e10 ), ( 5e10 ), True
八千八百八十八, ( 8e3 8e2 8e1 8e0 ), ( 8e3 8e2 8e1 8e0 ), True
五百一, ( 5e2 1e0 ), ( 5e2 1e0 ), True
肆拾伍, ( 4e1 5e0 ), ( 4e1 5e0 ), True
二十二, ( 2e1 2e0 ), ( 2e2 2e0 ), False
弐兆伍千億, ( 2e12 5e11 ), ( 2e11 5e10 ), False
捌百, ( 8e2 ), ( 8e2 ), True
壱仟壱百, ( 1e3 1e2 ), ( 1e3 1e2 ), True
伍拾伍, ( 5e1 5e0 ), ( 5e1 5e0 ), True
九百五十一, ( 9e2 5e1 1e0 ), ( 9e2 5e1 1e0 ), True
一兆, ( 1e12 ), ( 1e1 0e0 ), False
八十九万, ( 8e5 9e4 ), ( 8e1 9e0 ), False
五十六万, ( 5e5 6e4 ), ( 5e6 1e5 ), False
五十九, ( 5e1 9e0 ), ( 5e1 9e0 ), True
陸百, ( 6e2 ), ( 6e2 ), True
捌百玖拾, ( 8e2 9e1 ), ( 8e2 9e1 ), True
参拾参, ( 3e1 3e0 ), ( 3e1 3e0 ), True
三千八百, ( 3e3 8e2 ), ( 3e3 8e2 ), True
伍拾捌万, ( 5e5 8e4 ), ( 5e1 8e0 ), False
伍拾兆, ( 5e13 ), ( 5e11 ), False
千, ( 1e3 ), ( 1e3 ), True
二万三千四百, ( 2e4 3e3 4e2 ), ( 2e4 3e3 4e2 ), True
四千九百, ( 4e3 9e2 ), ( 4e3 9e2 ), True
拾, ( 1e1 ), ( 1e1 ), True
参拾万, ( 3e5 ), ( 1e5 ), False
八千億, ( 8e11 ), ( 8e10 ), False
百兆, ( 1e14 ), ( 1e16 ), False
千十, ( 1e3 1e1 ), ( 1e3 1e2 ), False
肆拾肆, ( 4e1 4e0 ), ( 4e1 4e0 ), True
壱兆, ( 1e12 ), ( 1e6 ), False
百二十一, ( 1e2 2e1 1e0 ), ( 1e2 1e1 1e0 ), False
六千百十一, ( 6e3 1e2 1e1 1e0 ), ( 6e3 1e2 1e0 ), False
陸, ( 6e0 ), ( 6e0 ), True
十二万, ( 1e5 2e4 ), ( 1e5 ), False
玖拾玖億, ( 9e9 9e8 ), ( 9e11 9e10 ), False
漆拾漆, ( 7e1 7e0 ), ( 7e1 7e0 ), True
壱千兆, ( 1e15 ), ( 1e7 1e3 ), False
漆拾億, ( 7e9 ), ( 1e10 ), False
三, ( 3e0 ), ( 3e0 ), True
玖百, ( 9e2 ), ( 9e2 ), True
萬, ( 1e4 ), ( 1e3 ), False
五千五百, ( 5e3 5e2 ), ( 5e3 5e2 ), True
四十八万, ( 4e5 8e4 ), ( 4e8 4e7 ), False
陸千四百万, ( 6e7 4e6 ), ( 6e7 4e6 ), True
弐, ( 2e0 ), ( 2e0 ), True
仟, ( 1e3 ), ( 1e3 ), True
七万八千九百, ( 7e4 8e3 9e2 ), ( 7e4 8e3 9e2 ), True
三百五十七, ( 3e2 5e1 7e0 ), ( 3e2 5e1 7e0 ), True
七拾二万参千, ( 7e5 2e4 3e3 ), ( 7e5 2e3 7e2 ), False
壱万参仟, ( 1e4 3e3 ), ( 1e3 7e2 ), False
